Rk,Player,Nation,Pos,Squad,MP,Starts,Min,90s,xG,xA,Tkl,Blocks,Tkl+Int,Clr,Cmp%,KP,SoT, Price ,Save%
113,Amos Pieper\Amos-Pieper,de GER,DF,Arminia,30,30,2682,29.8,1,0.5,66,72,101,222,83.7,7,5,,0
82,Anderson Lucoqui\Anderson-Lucoqui,ao ANG,DF,Arminia,21,18,1604,17.8,0.1,0.1,50,65,66,58,68.1,6,2,,0
329,Andreas Voglsammer\Andreas-Voglsammer,de GER,FWMF,Arminia,18,11,1000,11.1,3.5,1.8,11,15,16,10,58.6,9,12,,0
416,Arne Maier\Arne-Maier,de GER,MF,Arminia,16,13,1034,11.5,0.4,1.4,19,20,28,16,73,12,2,,0
13,Brian Behrendt\Brian-Behrendt,de GER,DF,Arminia,3,0,79,0.9,0,0,2,0,2,1,73.2,0,0,,0
26,Cédric Brunner\Cedric-Brunner,ch SUI,DF,Arminia,31,30,2655,29.5,0.4,1.1,51,66,80,119,71.4,17,2,,0
324,Cebio Soukou\Cebio-Soukou,bj BEN,FWMF,Arminia,14,5,458,5.1,0.8,0.1,10,3,11,5,87.8,4,1,,0
477,Christian Gebauer\Christian-Gebauer,at AUT,MFFW,Arminia,23,5,687,7.6,2,0.6,12,9,20,19,65.6,9,4,,0
216,Fabian Klos\Fabian-Klos,de GER,FW,Arminia,34,32,2709,30.1,7.9,3.5,26,20,36,28,56.4,28,19,,0
411,Fabian Kunze\Fabian-Kunze,de GER,MF,Arminia,26,12,1270,14.1,0.5,0.4,44,34,59,31,78.4,5,1,,0
497,Jóan Símun Edmundsson\Joan-Simun-Edmundsson,fo FRO,MFFW,Arminia,5,0,58,0.6,0.5,0,2,0,2,1,73.3,0,2,,0
11,Jacob Barrett Laursen\Jacob-Barrett-Laursen,dk DEN,DF,Arminia,16,13,1108,12.3,0,1.2,21,40,44,37,77.9,4,0,,0
101,Joakim Nilsson\Joakim-Nilsson,se SWE,DF,Arminia,25,24,2162,24,0.4,0.1,41,38,67,154,84.3,2,2,,0
