Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches
1,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,30,1990,31,31,2790,31.0,51,1.65,126,81,64.3,10,8,13,6,19.4,9,6,2,1,25.0,Matches
2,Elias Bördner\Elias-Bordner,de GER,GK,Eint Frankfurt,18,2002,1,1,90,1.0,1,1.00,6,5,83.3,1,0,0,0,0.0,0,0,0,0,,Matches
3,Fabian Bredlow\Fabian-Bredlow,de GER,GK,Stuttgart,25,1995,1,1,90,1.0,1,1.00,9,8,88.9,1,0,0,0,0.0,0,0,0,0,,Matches
4,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,29,1990,19,18,1665,18.5,30,1.62,89,63,70.8,9,2,7,4,22.2,4,4,0,0,0.0,Matches
5,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,28,1992,32,32,2880,32.0,33,1.03,101,72,70.3,17,9,6,14,43.8,5,3,2,0,40.0,Matches
6,Finn Dahmen\Finn-Dahmen,de GER,GK,Mainz 05,22,1998,3,3,270,3.0,10,3.33,20,11,55.0,1,0,2,0,0.0,1,1,0,0,0.0,Matches
7,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Schalke 04,31,1988,22,22,1876,20.8,50,2.40,139,94,66.2,3,3,16,3,13.6,4,3,1,0,25.0,Matches
8,Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,27,1993,3,3,270,3.0,6,2.00,16,12,75.0,1,1,1,0,0.0,3,2,0,1,0.0,Matches
9,Rafał Gikiewicz\Rafal-Gikiewicz,pl POL,GK,Augsburg,32,1987,34,34,3060,34.0,55,1.62,172,124,71.5,10,6,18,7,20.6,10,6,2,2,25.0,Matches
10,Lennart Grill\Lennart-Grill,de GER,GK,Leverkusen,21,1999,4,4,360,4.0,7,1.75,20,13,65.0,1,0,3,1,25.0,0,0,0,0,,Matches
11,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,RB Leipzig,30,1990,33,33,2970,33.0,30,0.91,77,48,64.9,19,8,6,15,45.5,3,3,0,0,0.0,Matches
12,Marwin Hitz\Marwin-Hitz,ch SUI,GK,Dortmund,32,1987,16,16,1395,15.5,16,1.03,42,27,66.7,11,2,3,7,43.8,2,2,0,0,0.0,Matches
13,Timo Horn\Timo-Horn,de GER,GK,Köln,27,1993,34,34,3009,33.4,59,1.76,150,98,65.3,8,9,17,5,14.7,8,7,1,0,12.5,Matches
14,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Leverkusen,30,1989,29,29,2565,28.5,29,1.02,82,56,65.9,13,9,7,8,27.6,2,1,1,0,50.0,Matches
15,Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,35,1984,8,8,720,8.0,13,1.62,31,20,61.3,2,1,5,1,12.5,2,1,1,0,50.0,Matches
16,Loris Karius\Loris-Karius,de GER,GK,Union Berlin,27,1993,4,3,292,3.2,1,0.31,5,5,80.0,1,2,0,2,66.7,0,0,0,0,,Matches
17,Gregor Kobel\Gregor-Kobel,ch SUI,GK,Stuttgart,22,1997,33,33,2970,33.0,54,1.64,155,105,68.4,11,9,13,5,15.2,7,5,2,0,28.6,Matches
18,Michael Langer\Michael-Langer,at AUT,GK,Schalke 04,35,1985,3,2,239,2.7,12,4.52,24,13,50.0,0,0,2,0,0.0,0,0,0,0,,Matches
19,Niklas Lomb\Niklas-Lomb,de GER,GK,Leverkusen,27,1993,2,1,135,1.5,3,2.00,8,5,62.5,0,1,0,0,0.0,0,0,0,0,,Matches
20,Andreas Luthe\Andreas-Luthe,de GER,GK,Union Berlin,33,1987,31,31,2768,30.8,42,1.37,123,84,69.1,11,12,8,5,16.1,5,4,1,0,20.0,Matches
21,Josep Martinez\Josep-Martinez,es ESP,GK,RB Leipzig,22,1998,1,1,90,1.0,2,2.00,4,2,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
22,Florian Müller\Florian-Muller,de GER,GK,Freiburg,22,1997,31,31,2790,31.0,46,1.48,152,110,71.1,11,8,12,6,19.4,3,2,1,0,33.3,Matches
23,Manuel Neuer\Manuel-Neuer,de GER,GK,Bayern Munich,34,1986,33,33,2970,33.0,42,1.27,126,83,67.5,24,5,4,9,27.3,3,1,1,1,50.0,Matches
24,Alexander Nübel\Alexander-Nubel,de GER,GK,Bayern Munich,23,1996,1,1,90,1.0,2,2.00,4,2,50.0,0,1,0,0,0.0,0,0,0,0,,Matches
25,Stefan Ortega\Stefan-Ortega,de GER,GK,Arminia,27,1992,34,34,3060,34.0,52,1.53,166,119,71.7,9,8,17,11,32.4,6,5,1,0,16.7,Matches
26,Jiří Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,28,1992,34,34,3060,34.0,57,1.68,150,100,64.7,7,10,17,6,17.6,6,4,2,0,33.3,Matches
27,Philipp Pentke\Philipp-Pentke,de GER,GK,Hoffenheim,35,1985,3,3,270,3.0,3,1.00,13,10,76.9,1,2,0,0,0.0,0,0,0,0,,Matches
28,Pavao Pervan\Pavao-Pervan,at AUT,GK,Wolfsburg,32,1987,2,2,180,2.0,4,2.00,14,9,71.4,0,1,1,0,0.0,0,0,0,0,,Matches
29,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,Schalke 04,27,1992,11,10,945,10.5,24,2.29,64,46,68.8,0,4,6,1,10.0,4,4,0,0,0.0,Matches
30,Alexander Schwolow\Alexander-Schwolow,de GER,GK,Hertha BSC,28,1992,26,26,2340,26.0,39,1.50,103,70,68.0,6,10,10,8,30.8,6,6,0,0,0.0,Matches
31,Tobias Sippel\Tobias-Sippel,de GER,GK,M'Gladbach,32,1988,4,3,344,3.8,6,1.57,19,12,68.4,1,1,1,1,33.3,0,0,0,0,,Matches
32,Yann Sommer\Yann-Sommer,ch SUI,GK,M'Gladbach,31,1988,31,31,2712,30.1,50,1.66,124,79,64.5,12,9,10,6,19.4,6,6,0,0,0.0,Matches
33,Kevin Trapp\Kevin-Trapp,de GER,GK,Eint Frankfurt,30,1990,33,33,2970,33.0,52,1.58,143,97,66.4,15,12,6,4,12.1,6,4,1,1,20.0,Matches
34,Robin Zentner\Robin-Zentner,de GER,GK,Mainz 05,25,1994,31,31,2790,31.0,46,1.48,135,93,69.6,9,9,13,5,16.1,6,5,0,1,0.0,Matches
35,Ron-Robert Zieler\Ron-Robert-Zieler,de GER,GK,Köln,31,1989,1,0,51,0.6,1,1.76,2,2,100.0,0,0,0,0,,1,1,0,0,0.0,Matches
