Rk,Player,Pos,Squad,MP,Min,90s,xG,xA,Tkl,Blocks,Tkl+Int,Clr,Cmp%,KP,SoT,Save%,Price
1,Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,22,1777,19.7,1.2,0.8,33,31,67,40,78.9,11,6,0,0
2,Tammy Abraham\Tammy-Abraham,FW,Chelsea,22,1040,11.6,6.4,0.9,8,9,10,17,68.3,8,13,0,0
3,Che Adams\Che-Adams,FW,Southampton,36,2667,29.6,8.8,5.8,30,26,41,16,70,34,31,0,0
4,Tosin Adarabioyo\Tosin-Adarabioyo,DF,Fulham,33,2953,32.8,1.1,0.4,41,38,96,241,87.4,5,5,0,0
5,AdriÃ¡n\Adrian,GK,Liverpool,3,270,3,0,0,0,0,0,0,76.8,0,0,52.6,0
6,Sergio AgÃ¼ero\Sergio-Aguero,FWMF,Manchester City,12,559,6.2,3.3,1.3,3,5,7,1,84.1,6,10,0,0
7,Ola Aina\Ola-Aina,DF,Fulham,31,2664,29.6,1,1.4,47,47,99,121,77.7,14,4,0,0
8,Rayan AÃ¯t Nouri\Rayan-Ait-Nouri,DF,Wolves,21,1404,15.6,0.6,1,31,27,46,39,83.7,13,6,0,0
9,Semi Ajayi\Semi-Ajayi,DF,West Brom,33,2780,30.9,1.3,0.3,58,62,99,148,74.4,5,4,0,0
10,Nathan AkÃ©\Nathan-Ake,DF,Manchester City,10,797,8.9,0.1,0,15,6,21,26,93,1,1,0,0
11,Marc Albrighton\Marc-Albrighton,DFFW,Leicester City,31,1746,19.4,1.3,4.4,43,32,71,26,68.8,39,9,0,0
12,Thiago AlcÃ¡ntara\Thiago-Alcantara,MF,Liverpool,24,1854,20.6,1.4,2.3,68,28,110,21,89.5,29,5,0,0
13,Toby Alderweireld\Toby-Alderweireld,DF,Tottenham,25,2240,24.9,0.8,0.3,37,53,52,162,83.7,7,3,0,0
14,RÃºnar Alex RÃºnarsson\Runar-Alex-Runarsson,GK,Arsenal,1,16,0.2,0,0,0,0,0,0,63.6,0,0,100,0
