long_name,club_name,league_name,value_eur
Anthony Modeste,1. FC Köln,German 1. Bundesliga,5500000
Benno Schmitz,1. FC Köln,German 1. Bundesliga,2600000
Christian Clemens,1. FC Köln,German 1. Bundesliga,2400000
Dimitris Limnios,1. FC Köln,German 1. Bundesliga,5500000
Dominick Drexler,1. FC Köln,German 1. Bundesliga,3800000
Ellyes Skhiri,1. FC Köln,German 1. Bundesliga,10000000
Elvis Rexhbeçaj,1. FC Köln,German 1. Bundesliga,3400000
Florian Kainz,1. FC Köln,German 1. Bundesliga,7000000
Frederik Sørensen,1. FC Köln,German 1. Bundesliga,2400000
Ismail Jakobs,1. FC Köln,German 1. Bundesliga,1900000
Jan Thielmann,1. FC Köln,German 1. Bundesliga,1600000
Jannes-Kilian Horn,1. FC Köln,German 1. Bundesliga,2300000
João Ricardo Pereira Queirós,1. FC Köln,German 1. Bundesliga,600000
Jonas Hector,1. FC Köln,German 1. Bundesliga,7500000
Jorge Meré Pérez,1. FC Köln,German 1. Bundesliga,3900000
Julian Krahl,1. FC Köln,German 1. Bundesliga,575000
Kingsley Ehizibue,1. FC Köln,German 1. Bundesliga,6500000
Marco Höger,1. FC Köln,German 1. Bundesliga,2600000
Noah Katterbach,1. FC Köln,German 1. Bundesliga,3500000
Ondrej Duda,1. FC Köln,German 1. Bundesliga,8500000
Rafael Czichos,1. FC Köln,German 1. Bundesliga,2500000
Robert Voloder,1. FC Köln,German 1. Bundesliga,180000
Ron-Robert Zieler,1. FC Köln,German 1. Bundesliga,3600000
Salih Özcan,1. FC Köln,German 1. Bundesliga,4500000
Sava-Arangel Cestic,1. FC Köln,German 1. Bundesliga,180000
Sebastiaan Bornauw,1. FC Köln,German 1. Bundesliga,9000000
Sebastian Andersson,1. FC Köln,German 1. Bundesliga,8000000
Tim Lemperle,1. FC Köln,German 1. Bundesliga,625000
Timo Horn,1. FC Köln,German 1. Bundesliga,8000000
Toluwalase Emmanuel Arokodare,1. FC Köln,German 1. Bundesliga,325000
Akaki Gogia,1. FC Union Berlin,German 1. Bundesliga,1100000
Andreas Luthe,1. FC Union Berlin,German 1. Bundesliga,3000000
Anthony Ujah,1. FC Union Berlin,German 1. Bundesliga,2400000
Berkan Taz,1. FC Union Berlin,German 1. Bundesliga,350000
Cedric Teuchert,1. FC Union Berlin,German 1. Bundesliga,1400000
Christian Gentner,1. FC Union Berlin,German 1. Bundesliga,2700000
Christopher Lenz,1. FC Union Berlin,German 1. Bundesliga,2000000
Christopher Trimmel,1. FC Union Berlin,German 1. Bundesliga,3000000
遠藤 渓太,1. FC Union Berlin,German 1. Bundesliga,1400000
Fabio Schneider,1. FC Union Berlin,German 1. Bundesliga,250000
Florian Hübner,1. FC Union Berlin,German 1. Bundesliga,2900000
Grischa Prömel,1. FC Union Berlin,German 1. Bundesliga,2300000
Jakob Busk Jensen,1. FC Union Berlin,German 1. Bundesliga,725000
Joshua Mees,1. FC Union Berlin,German 1. Bundesliga,1400000
Julian Ryerson,1. FC Union Berlin,German 1. Bundesliga,1000000
Lars Dietz,1. FC Union Berlin,German 1. Bundesliga,400000
Lennart Moser,1. FC Union Berlin,German 1. Bundesliga,900000
Marcus Ingvartsen,1. FC Union Berlin,German 1. Bundesliga,1400000
Marius Bülter,1. FC Union Berlin,German 1. Bundesliga,4200000
Marvin Friedrich,1. FC Union Berlin,German 1. Bundesliga,7000000
Max Kruse,1. FC Union Berlin,German 1. Bundesliga,14000000
Nico Schlotterbeck,1. FC Union Berlin,German 1. Bundesliga,1000000
Niko Gießelmann,1. FC Union Berlin,German 1. Bundesliga,2000000
Robert Andrich,1. FC Union Berlin,German 1. Bundesliga,3800000
Robin Knoche,1. FC Union Berlin,German 1. Bundesliga,8000000
Sebastian Griesbeck,1. FC Union Berlin,German 1. Bundesliga,2700000
Sheraldo Becker,1. FC Union Berlin,German 1. Bundesliga,1100000
Taiwo Michael Awoniyi,1. FC Union Berlin,German 1. Bundesliga,2700000
Tim Luis Maciejewski,1. FC Union Berlin,German 1. Bundesliga,975000
Ádám Szalai,1. FSV Mainz 05,German 1. Bundesliga,1900000
Aarón Martín Caricol,1. FSV Mainz 05,German 1. Bundesliga,7500000
Abass Issah,1. FSV Mainz 05,German 1. Bundesliga,1000000
Ahmet Ege Gürleyen,1. FSV Mainz 05,German 1. Bundesliga,325000
Alexander Hack,1. FSV Mainz 05,German 1. Bundesliga,3400000
Cyrill Akono,1. FSV Mainz 05,German 1. Bundesliga,825000
Daniel Brosinski,1. FSV Mainz 05,German 1. Bundesliga,4800000
Danny Latza,1. FSV Mainz 05,German 1. Bundesliga,5000000
Dimitri Lavalée,1. FSV Mainz 05,German 1. Bundesliga,825000
Edimilson Fernandes,1. FSV Mainz 05,German 1. Bundesliga,2300000
Finn Gilbert Dahmen,1. FSV Mainz 05,German 1. Bundesliga,475000
지동원 池东沅,1. FSV Mainz 05,German 1. Bundesliga,2400000
Jean-Paul Boëtius,1. FSV Mainz 05,German 1. Bundesliga,9000000
Jean-Philippe Mateta,1. FSV Mainz 05,German 1. Bundesliga,11000000
Jeremiah St. Juste,1. FSV Mainz 05,German 1. Bundesliga,7000000
Jonathan Michael Burkardt,1. FSV Mainz 05,German 1. Bundesliga,1000000
Karim Onisiwo,1. FSV Mainz 05,German 1. Bundesliga,6000000
Leandro Barreiro Martins,1. FSV Mainz 05,German 1. Bundesliga,1100000
Levin Mete Öztunali,1. FSV Mainz 05,German 1. Bundesliga,5000000
Luca Jannis Kilian,1. FSV Mainz 05,German 1. Bundesliga,1600000
Marius Liesegang,1. FSV Mainz 05,German 1. Bundesliga,120000
Marlon Suliman Mustapha,1. FSV Mainz 05,German 1. Bundesliga,375000
Matondo-Merveille Papela,1. FSV Mainz 05,German 1. Bundesliga,220000
Moussa Niakhaté,1. FSV Mainz 05,German 1. Bundesliga,8000000
Niklas Tauer,1. FSV Mainz 05,German 1. Bundesliga,325000
Omer Hanin,1. FSV Mainz 05,German 1. Bundesliga,160000
Paul Nebel,1. FSV Mainz 05,German 1. Bundesliga,650000
Phillipp Mwene,1. FSV Mainz 05,German 1. Bundesliga,3300000
Pierre Kunde Malong,1. FSV Mainz 05,German 1. Bundesliga,9500000
Ridle Bote Baku,1. FSV Mainz 05,German 1. Bundesliga,4500000
Robin Quaison,1. FSV Mainz 05,German 1. Bundesliga,9000000
Robin Zentner,1. FSV Mainz 05,German 1. Bundesliga,6500000
Stefan Bell,1. FSV Mainz 05,German 1. Bundesliga,3500000
