Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,29,1990,19.7,2,0,0,11,4,3,34,34,19,0,0,0,180,10,11,47.6,Matches
2,Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,22,1997,11.6,0,0,0,22,12,5,4,2,4,1,0,0,47,39,28,58.2,Matches
3,Che Adams\Che-Adams,sco SCO,FW,Southampton,24,1996,29.6,1,0,0,29,55,19,13,11,17,0,0,0,119,47,141,25.0,Matches
4,Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,22,1997,32.8,1,0,0,16,6,2,3,55,26,0,1,1,278,100,39,71.9,Matches
5,Adrián\Adrian,es ESP,GK,Liverpool,33,1987,3.0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,,Matches
6,Sergio Agüero\Sergio-Aguero,ar ARG,FWMF,Manchester City,32,1988,6.2,0,0,0,2,7,1,2,4,0,0,0,0,18,2,6,25.0,Matches
7,Ola Aina\Ola-Aina,ng NGA,DF,Fulham,23,1996,29.6,3,0,0,31,26,2,42,52,25,0,0,0,251,33,43,43.4,Matches
8,Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,19,2001,15.6,1,0,0,16,19,1,30,15,16,0,1,0,118,14,21,40.0,Matches
9,Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,26,1993,30.9,3,1,0,28,4,1,6,41,42,0,2,0,264,85,46,64.9,Matches
10,Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,25,1995,8.9,4,0,0,8,5,0,0,6,6,0,1,0,80,30,17,63.8,Matches
11,Marc Albrighton\Marc-Albrighton,eng ENG,DFFW,Leicester City,30,1989,19.4,2,0,0,9,20,4,73,28,31,0,0,0,188,15,32,31.9,Matches
12,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,29,1991,20.6,4,0,0,49,25,0,4,42,43,0,1,0,236,34,23,59.6,Matches
13,Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,31,1989,24.9,2,0,0,17,3,0,1,15,18,0,1,1,201,54,39,58.1,Matches
14,Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,25,1995,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
15,Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,21,1998,33.7,2,0,0,21,9,5,182,49,36,0,1,0,336,8,28,22.2,Matches
16,Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,28,1992,27.3,7,0,0,39,42,6,59,36,42,0,2,0,248,43,43,50.0,Matches
17,Alisson\Alisson,br BRA,GK,Liverpool,27,1992,33.0,1,0,0,1,5,0,0,0,0,0,1,0,170,0,1,0.0,Matches
18,Allan\Allan,br BRA,MF,Everton,29,1991,22.8,6,0,0,37,30,0,3,23,54,0,0,0,221,6,13,31.6,Matches
19,Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,24,1996,6.9,0,0,0,10,12,1,7,10,15,0,0,0,66,10,13,43.5,Matches
20,Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,26,1994,27.0,3,0,0,18,39,6,29,27,29,0,0,0,189,8,20,28.6,Matches
21,Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,29,1990,10.7,2,0,0,13,12,2,13,11,8,0,0,0,86,27,19,58.7,Matches
22,Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,21,1998,10.0,2,0,0,20,7,1,2,7,15,0,0,0,68,6,14,30.0,Matches
23,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,25,1994,8.0,3,0,0,3,1,0,0,12,6,0,0,0,94,21,15,58.3,Matches
24,Ethan Ampadu\Ethan-Ampadu,wal WAL,DFMF,Sheffield Utd,19,2000,23.2,3,0,0,25,25,1,11,39,36,0,1,1,220,66,30,68.8,Matches
25,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,24,1996,30.3,7,1,0,39,15,1,4,51,26,0,1,0,335,118,40,74.7,Matches
26,Elliot Anderson\Elliot-Anderson,sco SCO,MF,Newcastle Utd,17,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
27,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,27,1993,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,Matches
28,Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,30,1990,21.9,3,0,0,28,40,16,30,9,8,1,0,0,81,63,116,35.2,Matches
29,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,27,1993,36.0,2,0,0,0,5,0,0,0,1,0,0,0,150,0,0,,Matches
